conversation_id_str,created_at,favorite_count,text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1845395740014805076,Sun Oct 13 09:26:44 +0000 2024,0,memalukan         istri anggota polres pamekasan disetubuhi perwira mencabut aduannya  begini pengakuannya soal peristiwa hingga mencabut aduan,1845395740014805076,,jokowi,in,,0,0,0,https://x.com/Siswant72846784/status/1845395740014805076,1650138127724584962,Siswant72846784
1845395708968567274,Sun Oct 13 09:26:37 +0000 2024,0,terima kasih prabowo gibran program bantu anak anak tumbuh optimal bebas stunting  makanbergiziuntukbangsa,1845395708968567274,https://pbs.twimg.com/media/GZwpfMiaAAEofue.jpg,,in,,0,0,0,https://x.com/melati_mayis/status/1845395708968567274,1693874579922657280,melati_mayis
1845395637623455978,Sun Oct 13 09:26:20 +0000 2024,0,salut buat prabowo gibran peduli sama kesehatan masa depan anak anak bangsa   makanbergiziuntukbangsa,1845395637623455978,,,in,,0,0,0,https://x.com/mhmmd_irdam/status/1845395637623455978,1691720260309970945,mhmmd_irdam
1845288587803361323,Sun Oct 13 09:26:13 +0000 2024,0,prabowo gibran wujudkan indonesia lebih kuat anak anak sehat   makanbergiziuntukbangsa,1845395610503094532,,WellsWg6,in,,0,0,0,https://x.com/ranti_naumi/status/1845395610503094532,1702236948851810304,ranti_naumi
1845395578475381148,Sun Oct 13 09:26:06 +0000 2024,0,yes  prabowo gibran benar benar melakukan hebat generasi mendatang   makanbergiziuntukbangsa,1845395578475381148,,,in,,0,0,0,https://x.com/gilang_gbrn13/status/1845395578475381148,1683724858491043840,gilang_gbrn13
1845395489182953798,Sun Oct 13 09:25:45 +0000 2024,0,tiba solo temui jokowi prabowo dijemput gibran  prabowo  jokowi  gibranrakabuming,1845395489182953798,https://pbs.twimg.com/ext_tw_video_thumb/1845395070255759361/pu/img/2kqCv3ebjTJn223T.jpg,,in,,0,0,0,https://x.com/papandu08/status/1845395489182953798,1476561448952221698,papandu08
1845268254077616611,Sun Oct 13 09:25:41 +0000 2024,0,rapat dulu makanya biar kompak jawabannya,1845395473395482663,,Mdy_Asmara1701,in,,0,0,0,https://x.com/Aaazzzz17318787/status/1845395473395482663,1528698192174321671,Aaazzzz17318787
1844954347165319392,Sun Oct 13 09:25:40 +0000 2024,1,mirip kek lo  10 tahun muja muji mulyono walaupun tahu kebijakannya kek taek sepei uu cipta kerja revisi uu kpk paman gibran dijadikan ketua mk  giliran mulyono gak dukung ganjar elo malah balik ngata2in mulyono  giliran dulu mengkritik mulyono langsung dikatain kadrun,1845395469016744257,,PreciosaKanti,in,"Gambir, Indonesia",0,0,0,https://x.com/JubeBellingham/status/1845395469016744257,1551561776197558272,JubeBellingham
1845395463656116405,Sun Oct 13 09:25:38 +0000 2024,0,prabowo gibran hadirkan makan bergizi gratis masa depan indonesia lebih baik   makanbergiziuntukbangsa,1845395463656116405,,,in,,0,0,0,https://x.com/anggita_gumul/status/1845395463656116405,1697151218039271424,anggita_gumul
1844941385218289909,Sun Oct 13 09:25:35 +0000 2024,0,ga heran kalo bakal kejadian sih namanya orde baru 2 0,1845395450893042175,,xquitavee,in,,0,0,0,https://x.com/si4riNew/status/1845395450893042175,1507769095152103431,si4riNew
1845395403593875613,Sun Oct 13 09:25:24 +0000 2024,0,makan bergizi gratis prabowo gibran selamatkan masa depan anak bangsa   makanbergiziuntukbangsa,1845395403593875613,,,in,,0,0,0,https://x.com/n_adharesta10/status/1845395403593875613,1699441447894908928,n_adharesta10
1845395346735890585,Sun Oct 13 09:25:11 +0000 2024,0,prabowo gibran bawa solusi makan bergizi gratis anak bangsa sehat   makanbergiziuntukbangsa,1845395346735890585,,,in,,0,0,0,https://x.com/gelisa_sari/status/1845395346735890585,1687009494637879296,gelisa_sari
1845395268549870069,Sun Oct 13 09:24:52 +0000 2024,0,terima kasih prabowo gibran atas komitmen luar biasa kesehatan anak anak   makanbergiziuntukbangsa,1845395268549870069,,,in,,0,0,0,https://x.com/andy_hil2/status/1845395268549870069,1688453975635570688,andy_hil2
1845395199142564006,Sun Oct 13 09:24:35 +0000 2024,0,prabowo gibran bawa harapan baru lewat program makan bergizi gratis   makanbergiziuntukbangsa,1845395199142564006,,,in,,0,0,0,https://x.com/dhlia_mrt1/status/1845395199142564006,1681572947897753601,dhlia_mrt1
1845395178699517979,Sun Oct 13 09:24:31 +0000 2024,1,blusukan boyolali gibran janji pasar ampel akan dipindah direvitalisasi,1845395178699517979,,,in,,0,1,0,https://x.com/OposisiCerdas/status/1845395178699517979,887743587579944960,OposisiCerdas
1845395051637244343,Sun Oct 13 09:24:00 +0000 2024,0,prabowo gibran hadirkan makan bergizi gratis anak bangsa tumbuh optimal   makanbergiziuntukbangsa,1845395051637244343,,,in,,0,0,0,https://x.com/anugrah_wiranto/status/1845395051637244343,1689484618901463040,anugrah_wiranto
1845395011032187187,Sun Oct 13 09:23:51 +0000 2024,0,terima kasih prabowo gibran program makan sehat bantu lawan stunting sejak dini  makanbergiziuntukbangsa,1845395011032187187,https://pbs.twimg.com/media/GZwo-i8aAAMNZdk.jpg,,in,,0,0,0,https://x.com/andika_doni2/status/1845395011032187187,1833801348023988224,andika_doni2
1845284606276436395,Sun Oct 13 09:23:25 +0000 2024,0,buzzer gibran mania gw lebih mirip kaum quraisy,1845394904723472704,,andikamalreza,in,bekasi,0,0,0,https://x.com/ilhambale11/status/1845394904723472704,2234239963,ilhambale11
1845333645432848860,Sun Oct 13 09:23:17 +0000 2024,0,sby mantan presiden lebih berpengalaman gibran bocil tengil matang dikarbit malah bosok,1845394869994565782,,democrazymedia,in,,0,0,0,https://x.com/Nabilla_Safina/status/1845394869994565782,1339079521840984064,Nabilla_Safina
1845286024441888916,Sun Oct 13 09:23:16 +0000 2024,0,anak sumatera sehat masa depan indonesia cerah dukung penuh prabowo gibran  makanbergiziuntukbangsa,1845394866282561614,,va_silvaH1,in,,0,0,0,https://x.com/calvin_wisan15/status/1845394866282561614,1696027891874848768,calvin_wisan15
1845282338558836982,Sun Oct 13 09:22:50 +0000 2024,0,masyarakat kalimantan siap dukung prabowo gibran anak anak sehat jadi prioritas  makanbergiziuntukbangsa,1845394757620728196,,IndonesiaJadi,in,,0,0,0,https://x.com/wati_arsanti4/status/1845394757620728196,1682312425058766848,wati_arsanti4
1845394752595951878,Sun Oct 13 09:22:49 +0000 2024,0,prabowo gibran selamatkan masa depan anak bangsa program makan bergizi   makanbergiziuntukbangsa,1845394752595951878,,,in,,0,0,0,https://x.com/tedi_tamba/status/1845394752595951878,1709077916683022336,tedi_tamba
1845385729750466669,Sun Oct 13 09:22:34 +0000 2024,0,gibran hormati keputusan prabowo soal kabinet tegaskan dirinya loyal presiden terpilih selengkapnya   percaya gak,1845394691333947533,,pikiran_rakyat,in,,0,0,0,https://x.com/kopix7683/status/1845394691333947533,1826248612885798912,kopix7683
1845112347284914467,Sun Oct 13 09:22:24 +0000 2024,0,prabow mantan kopasus hina gibran dr akun fufufafa yt anak prabow o homo prabow punya biji piler satu tp prabow kader gerindra diam segitu harga diri mu prabow,1845394649726451943,,OposisiCerdas,in,"Jakarta Pusat, DKI Jakarta",0,0,0,https://x.com/RayHendra50940/status/1845394649726451943,1794801612206342144,RayHendra50940
1845394559234342973,Sun Oct 13 09:22:03 +0000 2024,0,makan bergizi gratis prabowo gibran solusi generasi indonesia kuat   makanbergiziuntukbangsa,1845394559234342973,,,in,,0,0,0,https://x.com/adinata_guna1/status/1845394559234342973,1699321362652049408,adinata_guna1
1845394492314222896,Sun Oct 13 09:21:47 +0000 2024,0,program makan bergizi prabowo gibran langkah strategis selamatkan anak bangsa   makanbergiziuntukbangsa,1845394492314222896,,,in,,0,0,0,https://x.com/nala_amalia9/status/1845394492314222896,1701097510809595904,nala_amalia9
1845391621782970476,Sun Oct 13 09:10:23 +0000 2024,2,order siapa  pak  mas  dilantik koar koar enggak jelas  mendingan kerjasama dgn waeg waeg terdekat sekolah sekolah dah  karuan jalan semua warung warung tsb,1845391621782970476,,,in,"Jakarta, Indonesia",0,1,2,https://x.com/ImaginarySteady/status/1845391621782970476,2556873745,ImaginarySteady
1845391598764556531,Sun Oct 13 09:10:17 +0000 2024,0,salut buat prabowo gibran memikirkan masa depan anak anak lewat program   makanbergiziuntukbangsa,1845391598764556531,,,in,,0,0,0,https://x.com/candini_hbnh/status/1845391598764556531,1696754231066431488,candini_hbnh
1844941385218289909,Sun Oct 13 09:10:09 +0000 2024,0,kasih tau sm boss lu sih jokowi jgn sering produksi ho x lol,1845391566334197781,,xquitavee,in,,0,0,0,https://x.com/DhannyAgus29159/status/1845391566334197781,1762776188584595456,DhannyAgus29159
1845391554359460081,Sun Oct 13 09:10:06 +0000 2024,1,gibran tegaskan pasar ampel boyolali tak dipindah direvitalisasi   investordaily  investasi  saham,1845391554359460081,,,in,"Jakarta, Indonesia",0,0,0,https://x.com/InvestorID/status/1845391554359460081,238091066,InvestorID
1845002046598152260,Sun Oct 13 09:09:52 +0000 2024,0,laen ni orang he irdam jp gibran pasangkan 02 ditawarin 01 03 misal aja dia gabung ke 01 menang emang lu koar koar kaya gini  i don t think so  sakit hati aja lu ga dipilih sama gibran dah gitu kalahnya sama gibran dih,1845391495328825690,,IrdamJp,in,,1,1,0,https://x.com/Allfrzaa/status/1845391495328825690,1484830719377813508,Allfrzaa
1845391479738597639,Sun Oct 13 09:09:49 +0000 2024,0,makan bergizi gratis prabowo gibran pastikan anak bangsa sehat berprestasi   makanbergiziuntukbangsa,1845391479738597639,,,in,,0,0,0,https://x.com/dagel_habibi/status/1845391479738597639,1701873686205300736,dagel_habibi
1845391458628665752,Sun Oct 13 09:09:44 +0000 2024,0,program makan bergizi prabowo gibran langkah strategis selamatkan generasi bangsa   makanbergiziuntukbangsa,1845391458628665752,,,in,,0,0,0,https://x.com/aidar_putriwsa/status/1845391458628665752,1702533408344412160,aidar_putriwsa
1845391456288010259,Sun Oct 13 09:09:43 +0000 2024,0,prabowo gibran hadirkan solusi makan bergizi masa depan cerah   makanbergiziuntukbangsa,1845391456288010259,,,in,,0,0,0,https://x.com/zacky_naufall/status/1845391456288010259,1689158870827237376,zacky_naufall
1845391453637443942,Sun Oct 13 09:09:42 +0000 2024,0,terima kasih prabowo gibran telah menunjukkan kepemimpinan peduli kesejahteraan rakyat  makanbergiziuntukbangsa,1845391453637443942,,,in,,0,0,0,https://x.com/lia_rahma04/status/1845391453637443942,1701442764314128384,lia_rahma04
1845391416782156243,Sun Oct 13 09:09:34 +0000 2024,1,program makan bergizi prabowo gibran solusi kesehatan anak anak indonesia   makanbergiziuntukbangsa,1845391416782156243,,,in,,0,0,0,https://x.com/syahrul_ryann/status/1845391416782156243,1697089018545197056,syahrul_ryann
1845391413040820460,Sun Oct 13 09:09:33 +0000 2024,0,wah terima kasih prabowo gibran program bikin optimis soal masa depan bangsa   makanbergiziuntukbangsa,1845391413040820460,,,in,,0,0,0,https://x.com/diah_hartati7/status/1845391413040820460,1698909280655785984,diah_hartati7
1845285004194013482,Sun Oct 13 09:09:31 +0000 2024,0,terima kasih prabowo gibran anak anak sumatera siap tumbuh sehat  makanbergiziuntukbangsa,1845391404031410534,,NoemeeBelonta,in,,0,0,0,https://x.com/aprin_tanusa3/status/1845391404031410534,1690957413959229440,aprin_tanusa3
1845391362751070318,Sun Oct 13 09:09:21 +0000 2024,1,marak spanduk  terima kasih jokowi selamat bekerja prabowo gibran  pengamat  emas tetap emas,1845391362751070318,,,in,Indonesia,0,1,0,https://x.com/rmol_id/status/1845391362751070318,990237626,rmol_id
1845391348431716616,Sun Oct 13 09:09:17 +0000 2024,0,salut buat prabowo gibran program bakal ngubah hidup banyak orang   makanbergiziuntukbangsa,1845391348431716616,,,in,,0,0,0,https://x.com/gilang_bakiadi7/status/1845391348431716616,1711267052491853824,gilang_bakiadi7
1845388901063721425,Sun Oct 13 09:08:57 +0000 2024,0,harusnya fans fanatik politik gk usah takut kehabisan buat ngetroll pemimpin sih  krna tiap haripun selalu akn bahan ngatain gibran  menunggangi sekumpulan org yg lg bete soal timnas politik mnku annoying wajar aja jd ribut2  kek gk empathy aja gt  wkwkwk,1845391262041489812,,ileristi,in,,0,0,0,https://x.com/ileristi/status/1845391262041489812,1624313473512648705,ileristi
1845391207830343776,Sun Oct 13 09:08:44 +0000 2024,0,lebih tai wapres gw gibran,1845391210149806438,,ceaurie,in,,0,0,0,https://x.com/ceaurie/status/1845391210149806438,1216006942914596864,ceaurie
1845271189931032863,Sun Oct 13 09:08:40 +0000 2024,0,makan siang bergizi gratis solusi prabowo gibran generasi sehat berprestasi   makanbergiziuntukbangsa,1845391190289678346,,Kecaupp,in,,0,0,0,https://x.com/tegar_wisnu1/status/1845391190289678346,1699364607360708608,tegar_wisnu1
1845391179103469727,Sun Oct 13 09:08:37 +0000 2024,0,prabowo gibran benar benar peduli generasi penerus bangsa   makanbergiziuntukbangsa,1845391179103469727,,,in,,0,0,0,https://x.com/hanna_santika9/status/1845391179103469727,1685904208879562753,hanna_santika9
1845391145859449041,Sun Oct 13 09:08:29 +0000 2024,0,prabowo gibran menunjukkan kesehatan anak anak prioritas utama membangun bangsa kuat   makanbergiziuntukbangsa,1845391145859449041,,,in,,0,0,0,https://x.com/ira_mardhiyah5/status/1845391145859449041,1702217810284589056,ira_mardhiyah5
1845322382187299260,Sun Oct 13 09:07:57 +0000 2024,0,penistaan mah mana akhlaknya gibran dicocikkin sama sahabat nabi astagfirullah,1845391013243912553,,0tk0il,in,"𝘴𝘩𝘦/𝘩𝘦𝘳, 19.",0,0,0,https://x.com/zixloffy/status/1845391013243912553,1250656266390663168,zixloffy
1845390341517836417,Sun Oct 13 09:05:17 +0000 2024,0,good step  prabowo gibran bener bener mikirin masa depan bangsa   makanbergiziuntukbangsa,1845390341517836417,,,in,,0,0,0,https://x.com/sofeni_ezmerald/status/1845390341517836417,1698539021776068608,sofeni_ezmerald
1845390264124440710,Sun Oct 13 09:04:59 +0000 2024,0,makan bergizi gratis prabowo gibran solusi generasi sehat kuat   makanbergiziuntukbangsa,1845390264124440710,,,in,,0,0,0,https://x.com/yudha_sandy7/status/1845390264124440710,1693502348403073024,yudha_sandy7
1845390219228356946,Sun Oct 13 09:04:48 +0000 2024,0,salut buat prabowo gibran peduli sama kesehatan anak anak lewat program   makanbergiziuntukbangsa,1845390219228356946,,,in,,0,0,0,https://x.com/yani_tarmi/status/1845390219228356946,1838490630441570304,yani_tarmi
1845390185883992394,Sun Oct 13 09:04:40 +0000 2024,0,prabowo gibran mengambil langkah tepat memprioritaskan gizi anak anak   makanbergiziuntukbangsa,1845390185883992394,,,in,,0,0,0,https://x.com/ferdy_yusti/status/1845390185883992394,1684862942146428928,ferdy_yusti
1845141626794148132,Sun Oct 13 09:04:35 +0000 2024,0,lu aja ngehujat pemain bola ben white ditolol2in gajelas,1845390163813539970,,CoachJustinL,in,,0,1,0,https://x.com/GibranAnakHaram/status/1845390163813539970,1417141421513986055,GibranAnakHaram
1845390119295123578,Sun Oct 13 09:04:24 +0000 2024,0,prabowo gibran berkomitmen meningkatkan gizi anak anak indonesia   makanbergiziuntukbangsa,1845390119295123578,,,in,,0,0,0,https://x.com/lurhur_hihu/status/1845390119295123578,1711585926395342848,lurhur_hihu
1845390007290482897,Sun Oct 13 09:03:58 +0000 2024,0,pembenci mas gibran kepanasan liat berita begini,1845390007290482897,,,in,,0,0,0,https://x.com/lordprabowo/status/1845390007290482897,1832128477740593152,lordprabowo
1845389935874015684,Sun Oct 13 09:03:41 +0000 2024,0,program makan bergizi prabowo gibran anak bangsa tumbuh lebih sehat   makanbergiziuntukbangsa,1845389935874015684,,,in,,0,0,0,https://x.com/bin_cakrawl2/status/1845389935874015684,1708683293137489920,bin_cakrawl2
1845389929955852606,Sun Oct 13 09:03:39 +0000 2024,0,makan bergizi gratis bukti nyata kepedulian prabowo gibran masa depan indonesia   makanbergiziuntukbangsa,1845389929955852606,,,in,,0,0,0,https://x.com/titi_may22/status/1845389929955852606,1709400767428505600,titi_may22
1845389886079238440,Sun Oct 13 09:03:29 +0000 2024,0,yes  dia program udah lama ditunggu tunggu  terima kasih prabowo gibran   makanbergiziuntukbangsa,1845389886079238440,,,in,,0,0,0,https://x.com/widya_utami30/status/1845389886079238440,1694241416602632192,widya_utami30
