"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1839852411252551775","Sun Sep 29 21:38:03 +0000 2024","0","@TeddGus @prabowo @gibran_tweet Raskin di rumah udah dpt stok brp karung bos? Mabok asam sulfat jgn lama2 bos...tdk baik buat otak yg lagi dlm masa pertumbuhan...sudah otak kecil nnti tambah menciut.","1840506350050378049","","TeddGus","in","","0","0","0","https://x.com/DSaklek/status/1840506350050378049","1512471111799386120","DSaklek"
"1840029738154504215","Sun Sep 29 21:37:33 +0000 2024","0","@gadingnstn LGBTQ itu G nya Gibran ya?","1840506224439443458","","gadingnstn","in","","0","0","0","https://x.com/miskintapisadar/status/1840506224439443458","1689721850396561408","miskintapisadar"
"1840030225197085033","Sun Sep 29 21:35:44 +0000 2024","0","@txtdrimedia Negaranya gibran dan sejenisnya jadi mau terkejut juga udah ga heran","1840505767419629982","","txtdrimedia","in","","0","0","0","https://x.com/miskintapisadar/status/1840505767419629982","1689721850396561408","miskintapisadar"
"1840032952643924026","Sun Sep 29 21:29:22 +0000 2024","0","@DokterTifa Ngelas-Ngeles mulu jelas2 lu sdh menuduh kok kalau fufufafa adalah Gibran. Cocote koar2 ujung2nya klarifikasi #kocak","1840504166776729932","","DokterTifa","in","Kebumen, Indonesia","0","0","0","https://x.com/pono_olo/status/1840504166776729932","504455710","pono_olo"
"1840374022665540035","Sun Sep 29 21:27:47 +0000 2024","1","@fadlizon @habiburokhman @bang_dasco @andre_rosiade @gibran_tweet @grace_nat @RajaJuliAntoni @Uki23 @AgusYudhoyono @kaesangp @airlangga_hrt Tantangan buat Kaesang !!!! Pasti Kaesang Gak Berani Pakai Kaos Tulisan ADIKNYA FUFUFAFA Gibran + Kaesang = PRIA PENGECUT &amp; PENAKUT !!!!! https://t.co/v0JWEEQgZc","1840503764446519462","https://pbs.twimg.com/ext_tw_video_thumb/1840503711132758016/pu/img/ix9NwSJjl766IFJw.jpg","fadlizon","in","","0","0","1","https://x.com/Sgm_mks/status/1840503764446519462","173114120","Sgm_mks"
"1840283302835695757","Sun Sep 29 21:24:39 +0000 2024","1","@alisyarief Ijazah palsu trs hampir 10 tahun isu ini aja yg eksis sampai gibran jadi wapres nanti sampai gibran jadi presiden isu ini aja yg dihembuskan ","1840502978954010754","","alisyarief","in","","0","1","0","https://x.com/Wan_2045/status/1840502978954010754","1705579125396951040","Wan_2045"
"1840345533560602724","Sun Sep 29 21:22:20 +0000 2024","0","@lulusnbp kamu mah dari dulu mikirnya ke sana mulu ga si ","1840502396281323563","","lulusnbp","in","(ceruk realitas dan imajinasi)","0","0","0","https://x.com/xxgibb/status/1840502396281323563","1234811977660321793","xxgibb"
"1840405561801580945","Sun Sep 29 21:19:26 +0000 2024","3","@liaasister samakah dgn University of Bradford in Singapore nya Gibran Chili Pari? bentar lg dpt Dr (HC) juga sepertinya mengikuti jejak RA bentar dpt tanda jasa jg","1840501664899637712","","liaasister","in","under the sky","0","0","0","https://x.com/TatiSahea/status/1840501664899637712","1675492225881640960","TatiSahea"
"1840374133638742080","Sun Sep 29 21:19:00 +0000 2024","0","@heri_sikuchan @fadlizon @tribunnews @prabowo Dibawa pemerintah pak gibran.","1840501557819035916","","heri_sikuchan","in","","0","0","0","https://x.com/Wan_2045/status/1840501557819035916","1705579125396951040","Wan_2045"
"1840374133638742080","Sun Sep 29 21:18:27 +0000 2024","2","@fadlizon @tribunnews Pak fadli kalau jadi menteri jangan lupa kalau menghadap pak gibran itu harus tunduk kepala ya jangan coba2 natap mukanya gibran bisa2 dipecat.","1840501416605184461","","fadlizon","in","","0","0","0","https://x.com/Wan_2045/status/1840501416605184461","1705579125396951040","Wan_2045"
"1840501193694712198","Sun Sep 29 21:17:34 +0000 2024","1","mungkin samakah dgn University of Bradford in Singapore nya Gibran Chili Pari?","1840501193694712198","","","in","under the sky","0","0","1","https://x.com/TatiSahea/status/1840501193694712198","1675492225881640960","TatiSahea"
"1840374133638742080","Sun Sep 29 21:17:05 +0000 2024","1","@fadlizon @tribunnews Gibran pegang dalam negeri. Selesai ini bangsa..semuah tunduk dan patuh sama gibran bocah yg tdk perna baca buku harus memerintah semuah elit politik yg baca buku ribuan dan mantan aktivis semuah..","1840501074727457270","","fadlizon","in","","0","0","0","https://x.com/Wan_2045/status/1840501074727457270","1705579125396951040","Wan_2045"
"1840500929491304661","Sun Sep 29 21:16:31 +0000 2024","0","Bagus biar dibuka di pengadilan biar rakyat tau . Yakin Akun Fufufafa Milik Gibran Rakbuming Roy Suryo Kini Diadukan ke Bareskrim Polri: Kita Resah https://t.co/jwK4E0cAOc","1840500929491304661","","","in","","0","0","0","https://x.com/BenyBen54834255/status/1840500929491304661","1516949238126907392","BenyBen54834255"
"1840161716753313871","Sun Sep 29 21:15:39 +0000 2024","0","@msaid_didu Pak said didu .. Punya masalah apa sih sama pak jokowi ?ko sampai begitunya mengarang bebas bikin narasi tanpa bukti ? Mas @gibran_tweet mungkin pak said didu pingin jabatan .kasih beliau jabatan kahsiplek(kepala satuan hansip komplek)","1840500711051976940","","msaid_didu","in","San diego,USA ","0","0","0","https://x.com/Rizieqedan69/status/1840500711051976940","1816819518691508229","Rizieqedan69"
